Actuator ID,x,y,z
'01-01,2.83993095,-3.759004248,7.569929343
'01-02,2.97849495,-3.759004248,7.809929306
'01-03,2.839930853,-3.759004248,8.049929287
'01-04,2.562802788,-3.759004248,8.049929287
'01-05,2.424238725,-3.759004248,7.809929301
'01-06,2.562802793,-3.759004248,7.569929375
'01-07,3.082418076,-3.759004248,7.269929445
'01-08,3.359546232,-3.759004248,7.269929413
'01-09,3.498110232,-3.759004248,7.509929376
'01-10,3.359546136,-3.759004248,7.749929357
'01-11,3.082418071,-3.759004248,7.749929357
'01-12,2.943854008,-3.759004248,7.509929371
'01-A,2.701366853,-3.759004248,7.809929287
'01-B,3.220982135,-3.759004248,7.509929357
'02-01,2.943854013,-3.759004248,6.309148103
'02-02,3.082418017,-3.759004248,6.069148142
'02-03,3.359546147,-3.759004248,6.06914811
'02-04,3.498110239,-3.759004248,6.30914802
'02-05,3.359546246,-3.759004248,6.549148046
'02-06,3.082418179,-3.759004248,6.549148075
'02-07,2.458879661,-3.759004248,6.909929306
'02-08,2.320315561,-3.759004248,7.149929316
'02-09,2.043187496,-3.759004248,7.149929221
'02-10,1.904623513,-3.759004248,6.909929174
'02-11,2.043187596,-3.759004248,6.669929258
'02-12,2.320315713,-3.759004248,6.669929311
'02-A,3.22098211,-3.759004248,6.309148089
'02-B,2.18175161,-3.759004248,6.909929287
'03-01,2.043187656,-3.759004248,5.949929314
'03-02,1.904623513,-3.759004248,5.709929433
'03-03,2.043187468,-3.759004248,5.46992937
'03-04,2.320315533,-3.759004248,5.469929205
'03-05,2.458879738,-3.759004248,5.709929109
'03-06,2.320315812,-3.759004248,5.949929117
'03-07,1.939264419,-3.759004248,6.609929306
'03-08,1.800700318,-3.759004248,6.849929316
'03-09,1.523572253,-3.759004248,6.849929221
'03-10,1.385008271,-3.759004248,6.609929174
'03-11,1.523572354,-3.759004248,6.369929258
'03-12,1.80070047,-3.759004248,6.369929311
'03-A,2.18175161,-3.759004248,5.709929287
'03-B,1.662136368,-3.759004248,6.609929287
'04-01,1.523572414,-3.759004248,5.649929314
'04-02,1.385008271,-3.759004248,5.409929433
'04-03,1.523572225,-3.759004248,5.16992937
'04-04,1.80070029,-3.759004248,5.169929205
'04-05,1.939264496,-3.759004248,5.409929109
'04-06,1.80070057,-3.759004248,5.649929117
'04-07,1.419649176,-3.759004248,6.309929306
'04-08,1.281085076,-3.759004248,6.549929316
'04-09,1.003957011,-3.759004248,6.549929221
'04-10,0.865393029,-3.759004248,6.309929174
'04-11,1.003957112,-3.759004248,6.069929258
'04-12,1.281085228,-3.759004248,6.069929311
'04-A,1.662136368,-3.759004248,5.409929287
'04-B,1.142521126,-3.759004248,6.309929287
'05-01,1.00486508,-3.759004248,5.349929425
'05-02,0.866300937,-3.759004248,5.109929544
'05-03,1.004864891,-3.759004248,4.86992948
'05-04,1.281992956,-3.759004248,4.869929316
'05-05,1.420557162,-3.759004248,5.10992922
'05-06,1.281993236,-3.759004248,5.349929228
'05-07,0.900033934,-3.759004248,6.009929306
'05-08,0.761469834,-3.759004248,6.249929316
'05-09,0.484341769,-3.759004248,6.249929221
'05-10,0.345777787,-3.759004248,6.009929174
'05-11,0.484341869,-3.759004248,5.769929258
'05-12,0.761469986,-3.759004248,5.769929311
